amt,city_pop,unix_time,is_fraud,hour,month,distance_cardholder_merchant,age,is_weekend,is_night,velocity_1h,velocity_24h,amount_velocity_1h,category_encoded,gender_encoded,day_of_week_encoded
2.17,2470,1371817433,0,12,6,123.33935217529702,52,1,0,1.0,1.0,2.17,10,1,6
79.51,1645,1371817828,0,12,6,39.10640768023627,44,1,0,2.0,2.0,121.91,0,1,6
55.53,172817,1371817971,0,12,6,61.75341618507659,38,1,0,1.0,1.0,55.53,6,1,6
30.72,192,1371818075,0,12,6,76.8598637424221,56,1,0,1.0,1.0,30.72,6,1,6
20.87,571,1371818384,0,12,6,93.12392284074444,53,1,0,1.0,1.0,20.87,1,1,6
4.24,1847,1371818783,0,12,6,62.76441192155769,32,1,0,2.0,2.0,38.41,1,0,6
5.85,760,1371818814,0,12,6,77.98106505882852,35,1,0,1.0,1.0,5.85,12,0,6
61.44,1312922,1371818903,0,12,6,59.130949475865,39,1,0,1.0,1.0,61.44,6,0,6
6.85,13602,1371819228,0,12,6,99.12806017641002,36,1,0,1.0,1.0,6.85,13,1,6
26.54,1789,1371819319,0,12,6,6.991251888798252,38,1,0,1.0,1.0,26.54,7,0,6
558.03,1261,1371819319,0,12,6,77.62222432053989,48,1,0,1.0,1.0,558.03,13,1,6
7.25,230,1371819522,0,12,6,78.83995534060942,23,1,0,1.0,1.0,7.25,1,0,6
185.27,2148,1371820211,0,13,6,68.3930802852899,67,1,0,1.0,1.0,185.27,7,0,6
38.88,8512,1371820477,0,13,6,85.81251131355076,69,1,0,1.0,1.0,38.88,7,1,6
49.49,20478,1371820934,0,13,6,84.03128460950369,23,1,0,1.0,1.0,49.49,0,1,6
25.5,5161,1371820941,0,13,6,57.98274941000589,27,1,0,2.0,2.0,62.64,12,0,6
25.64,35439,1371821222,0,13,6,41.59578912924788,35,1,0,1.0,1.0,25.64,6,1,6
37.89,1324,1371821711,0,13,6,113.54356763432892,94,1,0,1.0,1.0,37.89,7,0,6
20.89,376,1371822077,0,13,6,80.91434448519279,82,1,0,2.0,2.0,40.620000000000005,7,1,6
44.91,92106,1371822206,0,13,6,108.475751596111,77,1,0,1.0,1.0,44.91,5,0,6
11.09,2607,1371822522,0,13,6,34.503753858520255,25,1,0,1.0,1.0,11.09,10,0,6
5.21,34153,1371823011,0,13,6,88.72954263776087,25,1,0,1.0,1.0,5.21,0,0,6
20.01,509,1371823412,0,14,6,89.60258139516628,40,1,0,1.0,2.0,20.01,6,0,6
35.26,6120,1371823625,0,14,6,44.96322377693111,44,1,0,1.0,1.0,35.26,10,0,6
3.22,5901,1371824255,0,14,6,38.077175086305424,48,1,0,1.0,1.0,3.22,10,1,6
58.67,291,1371824688,0,14,6,72.05753316942622,29,1,0,1.0,1.0,58.67,1,1,6
37.02,5507,1371824696,0,14,6,106.40213785829562,47,1,0,1.0,1.0,37.02,6,1,6
62.19,686,1371824826,0,14,6,99.1386478694131,40,1,0,1.0,1.0,62.19,1,1,6
8.53,4005,1371824866,0,14,6,62.34373312743575,75,1,0,1.0,1.0,8.53,10,1,6
109.09,9521,1371824994,0,14,6,131.48172464023122,43,1,0,1.0,1.0,109.09,6,0,6
103.09,15426,1371825765,0,14,6,18.5786326347756,84,1,0,1.0,1.0,103.09,7,0,6
42.67,4198,1371825781,0,14,6,10.693549156670306,19,1,0,1.0,2.0,42.67,5,0,6
3.57,213,1371826427,0,14,6,118.71695984289028,48,1,0,2.0,2.0,6.48,12,0,6
41.92,86954,1371826542,0,14,6,105.17534031616285,28,1,0,1.0,1.0,41.92,9,1,6
167.02,378909,1371826554,0,14,6,42.329694564849575,43,1,0,2.0,3.0,206.16000000000005,0,0,6
67.75,34882,1371826878,0,15,6,100.27936544038847,49,1,0,1.0,1.0,67.75,0,0,6
9.16,87124,1371826957,0,15,6,92.00010380710944,33,1,0,1.0,3.0,9.16,12,0,6
14.63,2092,1371827011,0,15,6,111.54499653723516,58,1,0,1.0,1.0,14.63,7,1,6
96.05,2258,1371827109,0,15,6,26.80147644854727,83,1,0,1.0,3.0,96.05,5,1,6
9.07,1423,1371827174,0,15,6,95.09241595137168,22,1,0,1.0,2.0,9.07,1,0,6
5.11,1414,1371827536,0,15,6,46.90808137128037,62,1,0,2.0,2.0,6.630000000000001,5,1,6
61.42,18459,1371827646,0,15,6,82.95921186321387,91,1,0,1.0,1.0,61.42,7,0,6
36.33,5875,1371827846,0,15,6,2.7985143009729336,28,1,0,1.0,2.0,36.33,7,0,6
39.98,653,1371828022,0,15,6,70.698868718204,54,1,0,1.0,1.0,39.98,6,1,6
2.84,5875,1371828309,0,15,6,119.66059215409508,28,1,0,2.0,3.0,39.17,11,0,6
63.29,1382480,1371828405,0,15,6,114.5785987837361,30,1,0,1.0,1.0,63.29,6,1,6
159.73,1201,1371828899,0,15,6,112.79868262608662,41,1,0,1.0,1.0,159.73,10,0,6
4.76,2303,1371828931,0,15,6,80.87383557983993,33,1,0,1.0,1.0,4.76,6,0,6
8.7,2263,1371829015,0,15,6,85.0485529417175,36,1,0,1.0,1.0,8.7,7,0,6
616.78,467,1371829057,0,15,6,57.726469597442566,36,1,0,1.0,1.0,616.78,13,1,6
5.09,18182,1371829282,0,15,6,72.10268461198811,45,1,0,2.0,3.0,93.76,1,1,6
9.66,1312922,1371829444,0,15,6,63.44028216739103,21,1,0,1.0,2.0,9.66,7,0,6
82.29,140,1371829554,0,15,6,52.38382287591472,31,1,0,1.0,1.0,82.29,6,1,6
80.39,1241364,1371830066,0,15,6,106.11948867552287,60,1,0,1.0,1.0,80.39,1,0,6
225.57,1051,1371830258,0,15,6,106.81249588704024,44,1,0,2.0,4.0,248.17,10,0,6
70.67,1930,1371830417,0,16,6,30.258134023824056,37,1,0,2.0,2.0,71.95,6,0,6
9.23,743,1371830426,0,16,6,43.00702431226335,48,1,0,1.0,3.0,9.23,11,0,6
1.77,470,1371831605,0,16,6,51.520133746652014,55,1,0,1.0,2.0,1.77,13,1,6
23.09,7987,1371831674,0,16,6,75.8853080829027,56,1,0,1.0,1.0,23.09,6,1,6
8.42,86954,1371831678,0,16,6,76.35892252891844,28,1,0,1.0,2.0,8.42,12,1,6
6.86,1758,1371831693,0,16,6,94.45094437099456,63,1,0,1.0,1.0,6.86,13,1,6
56.35,276896,1371832734,0,16,6,83.64430688867009,23,1,0,2.0,3.0,64.1,4,1,6
45.33,4081,1371833675,0,16,6,100.15981933361628,82,1,0,1.0,1.0,45.33,7,1,6
11.86,9679,1371833872,0,16,6,110.59029653790866,29,1,0,1.0,1.0,11.86,7,1,6
69.54,14871,1371833899,0,16,6,54.16156565726995,46,1,0,1.0,2.0,69.54,1,0,6
42.36,2870,1371834282,0,17,6,127.79370224205312,21,1,0,1.0,2.0,42.36,4,1,6
7.73,11432,1371834287,0,17,6,112.03797381109844,34,1,0,1.0,1.0,7.73,13,0,6
376.28,1312922,1371834471,0,17,6,101.15884110132406,39,1,0,2.0,4.0,441.39,11,0,6
1.7,134056,1371834674,0,17,6,38.83286881219004,40,1,0,1.0,2.0,1.7,11,1,6
5.5,635,1371834768,0,17,6,28.183082620183995,47,1,0,1.0,2.0,5.5,7,0,6
22.81,1196,1371834838,0,17,6,81.49508073065951,62,1,0,1.0,2.0,22.81,6,1,6
64.15,1274,1371835161,0,17,6,63.56330189105913,71,1,0,1.0,1.0,64.15,1,0,6
1.34,5927,1371835629,0,17,6,44.48831328450695,47,1,0,1.0,2.0,1.34,11,1,6
99.56,21134,1371835935,0,17,6,32.31405854892819,36,1,0,1.0,1.0,99.56,0,0,6
