amt,city_pop,unix_time,is_fraud,hour,month,distance_cardholder_merchant,age,is_weekend,is_night,velocity_1h,velocity_24h,amount_velocity_1h,category_encoded,gender_encoded,day_of_week_encoded
21.57,1970,1371818389,0,12,6,57.84432604359784,71,1,0,1.0,1.0,21.57,10,1,6
128.33,5196,1371818531,0,12,6,102.06189350345042,42,1,0,2.0,2.0,143.82000000000002,1,1,6
68.79,2304,1371820065,0,13,6,73.16306748419706,65,1,0,1.0,1.0,68.79,10,1,6
51.75,888,1371821216,0,13,6,100.48123827822111,32,1,0,1.0,1.0,51.75,0,0,6
43.13,635,1371823790,0,14,6,36.85719357587472,47,1,0,1.0,1.0,43.13,1,0,6
4.49,7297,1371825281,0,14,6,57.08311366674763,30,1,0,1.0,1.0,4.49,11,1,6
117.46,1288,1371825340,0,14,6,23.72290553205088,84,1,0,1.0,1.0,117.46,0,0,6
34.01,5438,1371825856,0,14,6,108.1242468174451,56,1,0,1.0,1.0,34.01,5,0,6
159.73,1201,1371828899,0,15,6,112.79868262608662,41,1,0,1.0,1.0,159.73,10,0,6
27.87,6841,1371829113,0,15,6,32.57675248504098,21,1,0,2.0,5.0,32.55,10,0,6
53.05,34496,1371829427,0,15,6,119.62897487254384,50,1,0,1.0,3.0,53.05,1,0,6
6.86,1758,1371831693,0,16,6,94.45094437099456,63,1,0,1.0,1.0,6.86,13,1,6
19.29,192,1371836056,0,17,6,96.9139564016469,56,1,0,1.0,4.0,19.29,6,1,6
74.53,566,1371838083,0,18,6,102.18778925573812,45,1,0,1.0,1.0,74.53,10,1,6
71.22,54767,1371840830,0,18,6,51.00743816198366,33,1,0,1.0,3.0,71.22,1,1,6
33.98,55581,1371847384,0,20,6,39.14098994609503,48,1,0,1.0,3.0,33.98,7,1,6
92.07,1383,1371848254,0,20,6,105.05411309973732,54,1,0,1.0,4.0,92.07,0,1,6
2.37,67082,1371850311,0,21,6,57.51975391761238,50,1,0,1.0,5.0,2.37,5,0,6
21.42,3495,1371851231,0,21,6,48.648616548870166,32,1,0,1.0,2.0,21.42,10,0,6
1.48,761,1371852519,0,22,6,101.80006548542674,77,1,1,1.0,1.0,1.48,13,0,6
10.21,1595797,1371855130,0,22,6,93.57219148503631,25,1,1,1.0,5.0,10.21,10,1,6
75.46,13061,1371855954,0,23,6,9.830447805542065,61,1,1,1.0,1.0,75.46,6,0,6
6.45,9784,1371856973,0,23,6,9.814891345418694,96,1,1,1.0,2.0,6.45,6,1,6
3.3,116001,1371857234,0,23,6,111.04509121128174,27,1,1,1.0,4.0,3.3,10,1,6
325.61,2307,1371859227,0,0,6,101.9459797349479,51,0,1,3.0,6.0,509.16,8,0,0
