amt,city_pop,unix_time,is_fraud,hour,month,distance_cardholder_merchant,age,is_weekend,is_night,velocity_1h,velocity_24h,amount_velocity_1h,category_encoded,gender_encoded,day_of_week_encoded
133.93,1139,1371816944,0,12,6,134.41070822998313,69,1,0,1.0,1.0,133.93,5,0,6
22.42,18408,1371819105,0,12,6,110.38039575428634,48,1,0,1.0,1.0,22.42,5,1,6
25.64,35439,1371821222,0,13,6,41.59578912924788,35,1,0,1.0,1.0,25.64,6,1,6
119.15,895,1371821419,0,13,6,90.610321665579,21,1,0,1.0,1.0,119.15,11,1,6
25.5,124967,1371822970,0,13,6,52.74057349781442,40,1,0,2.0,3.0,132.36,10,1,6
9.1,9496,1371823600,0,14,6,112.94783630011317,27,1,0,1.0,1.0,9.1,12,1,6
61.7,7692,1371825398,0,14,6,17.96361540497911,34,1,0,1.0,1.0,61.7,6,1,6
24.93,5895,1371826761,0,14,6,34.33483355074753,45,1,0,3.0,3.0,191.12,6,0,6
7.21,241,1371827693,0,15,6,43.86762410547679,40,1,0,1.0,1.0,7.21,6,0,6
616.78,467,1371829057,0,15,6,57.726469597442566,36,1,0,1.0,1.0,616.78,13,1,6
52.02,795,1371830306,0,15,6,79.38485639220404,34,1,0,1.0,2.0,52.02,7,1,6
4.11,3224,1371830392,0,15,6,49.50324698158091,23,1,0,3.0,5.0,25.35,12,1,6
4.39,564,1371837609,0,18,6,24.196857607565867,24,1,0,2.0,5.0,14.18,10,1,6
50.74,13717,1371840276,0,18,6,19.711569045836075,71,1,0,1.0,3.0,50.74,6,0,6
7.25,1143,1371841193,0,18,6,90.56752578974913,58,1,0,1.0,2.0,7.25,10,0,6
17.02,1352,1371841266,0,19,6,105.98874709398277,28,1,0,1.0,1.0,17.02,9,0,6
3.66,2870,1371841867,0,19,6,84.04159548485855,21,1,0,1.0,3.0,3.66,8,1,6
13.99,123373,1371842805,0,19,6,102.27788594396937,28,1,0,1.0,2.0,13.99,11,0,6
139.84,640470,1371845424,0,20,6,107.05093454076952,54,1,0,1.0,3.0,139.84,6,1,6
88.68,184,1371848519,0,21,6,27.42733166942224,75,1,0,1.0,2.0,88.68,0,0,6
40.3,71485,1371848538,0,21,6,74.55034619756077,46,1,0,1.0,9.0,40.3,7,0,6
129.11,645,1371848987,0,21,6,90.35247886286584,46,1,0,1.0,1.0,129.11,12,1,6
4.09,836,1371849664,0,21,6,111.03312782296642,39,1,0,3.0,7.0,153.06,11,0,6
2.37,67082,1371850311,0,21,6,57.51975391761238,50,1,0,1.0,5.0,2.37,5,0,6
15.5,12747,1371850496,0,21,6,55.19494941621881,33,1,0,3.0,3.0,115.05,11,0,6
26.93,11256,1371851732,0,21,6,50.945903012953465,48,1,0,2.0,3.0,28.24,0,0,6
164.25,760,1371853303,0,22,6,66.16741280122673,35,1,1,1.0,7.0,164.25,0,0,6
60.05,302,1371853435,0,22,6,90.8550678773324,47,1,1,1.0,6.0,60.05,6,0,6
1077.69,71335,1371854335,1,22,6,103.08902674432916,26,1,1,1.0,1.0,1077.69,11,1,6
48.89,31515,1371854651,0,22,6,84.85314802178858,49,1,1,1.0,5.0,48.89,7,1,6
81.08,313,1371854853,0,22,6,109.08518086532806,44,1,1,2.0,4.0,133.73,10,0,6
45.83,54287,1371855207,0,22,6,59.88065702881525,48,1,1,1.0,6.0,45.83,6,0,6
3.32,207410,1371858598,0,23,6,12.891522128853495,36,1,1,1.0,4.0,3.32,12,1,6
66.75,2054,1371859215,0,0,6,66.56179917668783,57,0,1,1.0,2.0,66.75,2,0,0
8.39,105638,1371863882,1,1,6,64.2048523645611,34,0,1,1.0,2.0,8.39,9,0,0
8.43,718,1371867719,0,2,6,41.20425604309884,35,0,1,2.0,9.0,73.65,8,0,0
21.22,19090,1371867839,0,2,6,92.389238240622,91,0,1,1.0,3.0,21.22,12,0,0
53.77,355,1371868827,0,2,6,107.0968958405915,65,0,1,1.0,4.0,53.77,3,0,0
95.62,4290,1371871211,0,3,6,95.46378025597652,31,0,1,1.0,1.0,95.62,3,1,0
46.14,4005,1371871395,0,3,6,51.10030750724696,75,0,1,1.0,2.0,46.14,1,1,0
195.12,46563,1371871736,0,3,6,79.74855461710759,50,0,1,1.0,8.0,195.12,4,0,0
60.29,782,1371872249,0,3,6,69.35598277820108,38,0,1,1.0,4.0,60.29,2,1,0
3.69,4895,1371873519,0,3,6,18.88083143098072,62,0,1,1.0,1.0,3.69,12,0,0
75.23,2807,1371874020,0,4,6,78.2357261527228,89,0,1,1.0,4.0,75.23,4,0,0
19.53,4508,1371874499,0,4,6,111.28575116024916,71,0,1,1.0,1.0,19.53,11,0,0
53.32,2135,1371882071,0,6,6,67.31589637674091,59,0,0,1.0,2.0,53.32,2,1,0
2.01,27829,1371882610,0,6,6,82.06059742344804,66,0,0,1.0,2.0,2.01,8,0,0
51.69,564,1371882761,0,6,6,98.38588544406646,24,0,0,2.0,9.0,146.03,4,1,0
426.68,344,1371883892,0,6,6,106.3115617200244,53,0,0,1.0,3.0,426.68,8,0,0
67.77,9496,1371887481,0,7,6,65.32299003311618,27,0,0,1.0,8.0,67.77,4,1,0
649.56,1271,1371887614,0,7,6,96.60677870689696,62,0,0,1.0,6.0,649.56,9,0,0
111.87,571,1371887712,0,7,6,78.91776064864064,89,0,0,1.0,6.0,111.87,4,0,0
65.25,1645,1371887913,0,7,6,121.85742010057508,34,0,0,1.0,3.0,65.25,2,0,0
6.54,2435,1371888314,0,8,6,37.87001330963561,53,0,0,3.0,7.0,124.87,8,0,0
76.85,2786,1371888486,0,8,6,48.97348282533876,55,0,0,1.0,4.0,76.85,4,0,0
1.25,2258,1371888502,0,8,6,108.31228138834912,83,0,0,1.0,5.0,1.25,8,1,0
135.58,18408,1371890742,0,8,6,95.40648972841156,48,0,0,1.0,9.0,135.58,8,1,0
73.36,124967,1371894754,0,9,6,87.0202641053199,40,0,0,1.0,10.0,73.36,4,1,0
102.15,49,1371895025,0,9,6,70.98914220550715,39,0,0,1.0,4.0,102.15,4,1,0
55.36,1595797,1371895035,0,9,6,34.477376799942085,25,0,0,1.0,7.0,55.36,2,1,0
57.66,2401,1371895249,0,10,6,108.05389987039356,48,0,0,1.0,1.0,57.66,2,0,0
23.58,1791,1371897869,0,10,6,67.50896139992423,55,0,0,1.0,11.0,23.58,12,0,0
53.97,467,1371903118,0,12,6,78.55969275735968,36,0,0,1.0,2.0,53.97,1,1,0
97.13,88735,1371903959,0,12,6,59.0453536328584,32,0,0,1.0,3.0,97.13,10,0,0
2.24,1075,1371904663,0,12,6,42.685100714905225,23,0,0,1.0,7.0,2.24,5,0,0
5.45,59744,1371905062,0,12,6,109.46909391460596,36,0,0,1.0,5.0,5.45,13,0,0
14.79,1789,1371905607,0,12,6,91.68801572073336,38,0,0,2.0,12.0,27.13,7,0,0
1.93,923,1371905864,0,12,6,82.92016228523603,56,0,0,1.0,1.0,1.93,13,1,0
8.27,1228,1371906216,0,13,6,26.93606877953625,29,0,0,1.0,8.0,8.27,12,0,0
45.36,105549,1371906773,0,13,6,113.033866179885,47,0,0,1.0,7.0,45.36,0,1,0
18.82,2607,1371906875,0,13,6,71.8769173002418,25,0,0,2.0,10.0,28.48,1,0,0
217.07,116001,1371907605,0,13,6,84.41313276443778,27,0,0,1.0,5.0,217.07,6,1,0
5.2,2036,1371908861,0,13,6,50.27723429695181,49,0,0,1.0,4.0,5.2,11,0,0
51.0,54287,1371910564,0,14,6,32.82598351234011,48,0,0,1.0,12.0,51.0,1,0,0
23.84,308,1371912795,0,14,6,73.28556661720482,62,0,0,1.0,3.0,23.84,1,1,0
3.77,757530,1371913057,0,14,6,80.23079080857087,41,0,0,3.0,9.0,45.48,9,1,0
38.99,20478,1371913291,0,15,6,63.857624450479385,23,0,0,1.0,6.0,38.99,7,1,0
14.93,2054,1371913823,0,15,6,110.60219801839986,57,0,0,1.0,5.0,14.93,7,0,0
105.36,972,1371914002,0,15,6,82.41764027871834,23,0,0,2.0,5.0,215.73,0,1,0
46.85,1261,1371914563,0,15,6,59.22065307657089,48,0,0,1.0,7.0,46.85,7,1,0
53.37,7646,1371916008,0,15,6,41.20513083600253,32,0,0,4.0,13.0,84.75999999999999,5,0,0
99.63,1334,1371916044,0,15,6,109.67921355982438,34,0,0,1.0,3.0,99.63,6,0,0
5.41,241,1371917938,0,16,6,114.6666966788476,46,0,0,1.0,6.0,5.41,12,0,0
10.29,8019,1371919973,0,16,6,101.76416730557496,92,0,0,1.0,3.0,10.29,10,1,0
21.62,355,1371920235,0,16,6,104.03321195670304,65,0,0,2.0,7.0,134.9,1,0,0
8.03,2274,1371922287,0,17,6,94.95871927343558,77,0,0,1.0,5.0,8.03,7,1,0
44.57,2856,1371923109,0,17,6,91.76435257244565,94,0,0,3.0,7.0,147.61,6,0,0
1.46,1643,1371925730,0,18,6,47.25110198471108,44,0,0,1.0,7.0,1.46,12,0,0
436.33,165556,1371926872,0,18,6,72.50013951834163,23,0,0,1.0,5.0,436.33,9,0,0
2.05,105549,1371926976,0,18,6,53.19037881711265,47,0,0,3.0,11.0,50.72,10,1,0
37.8,370,1371927002,0,18,6,111.36120114167,58,0,0,1.0,3.0,37.8,7,1,0
2.06,1684,1371930495,0,19,6,49.65163990985181,26,0,0,3.0,8.0,37.77,5,0,0
68.04,673342,1371932922,0,20,6,100.86751568525484,53,0,0,1.0,6.0,68.04,1,1,0
289.66,5341,1371934408,0,20,6,83.26018250531322,26,0,0,2.0,2.0,298.12,6,1,0
17.8,20478,1371935170,0,21,6,20.65838578667121,23,0,0,1.0,8.0,17.8,6,1,0
23.77,8007,1371935190,0,21,6,29.97949375187089,80,0,0,1.0,4.0,23.77,6,0,0
134.06,8097,1371935268,0,21,6,108.71132696817465,56,0,0,1.0,3.0,134.06,7,1,0
18.99,32891,1371936964,0,21,6,54.797673155156815,33,0,0,2.0,10.0,32.4,1,1,0
46.06,3223,1371938078,0,21,6,38.84877539032869,66,0,0,1.0,2.0,46.06,10,1,0
90.41,5657,1371941173,0,22,6,126.68343621591532,33,0,1,1.0,2.0,90.41,0,1,0
108.14,493806,1371941286,0,22,6,88.17407300539143,40,0,1,1.0,9.0,108.14,7,1,0
6.46,59744,1371942844,0,23,6,74.41511702886585,36,0,1,1.0,13.0,6.46,12,0,0
161.34,9679,1371942933,0,23,6,109.51383444107876,29,0,1,1.0,2.0,161.34,9,1,0
262.08,391389,1371944800,0,23,6,81.49617032837386,26,0,1,2.0,7.0,267.11,10,0,0
63.46,365,1371946344,0,0,6,98.07948412946976,50,0,1,1.0,4.0,63.46,2,1,1
8.67,2661,1371947730,0,0,6,93.47533616343826,72,0,1,1.0,5.0,8.67,12,1,1
1.41,673342,1371947781,0,0,6,70.79532380330492,53,0,1,1.0,6.0,1.41,12,1,1
44.26,51,1371947985,0,0,6,71.97536210429278,60,0,1,1.0,1.0,44.26,2,0,1
9.17,1288,1371951660,0,1,6,91.16267561652144,84,0,1,2.0,5.0,14.32,9,0,1
67.66,33804,1371953056,0,2,6,16.50006410048436,29,0,1,1.0,3.0,67.66,3,1,1
4.94,2786,1371953268,0,2,6,98.61790880120046,55,0,1,1.0,6.0,4.94,0,0,1
7.82,2807,1371956591,0,3,6,103.7273148933234,89,0,1,2.0,6.0,32.879999999999995,12,0,1
30.98,1654,1371957370,0,3,6,37.97144186804283,29,0,1,1.0,5.0,30.98,9,1,1
17.22,673342,1371958707,0,3,6,92.08170539594188,51,0,1,1.0,7.0,17.22,9,1,1
201.77,270712,1371961887,0,4,6,45.03975670085632,48,0,1,1.0,8.0,201.77,4,0,1
2077.77,6284,1371966746,0,5,6,93.58393703893776,84,0,1,1.0,5.0,2077.77,11,1,1
148.06,1791,1371969331,0,6,6,64.67410017739083,55,0,0,1.0,8.0,148.06,4,0,1
152.56,286,1371969363,0,6,6,80.20743341296844,31,0,0,2.0,5.0,191.96,12,1,1
98.64,640470,1371971338,0,7,6,87.13394300612832,54,0,0,1.0,3.0,98.64,4,1,1
5.43,376,1371971761,0,7,6,80.38918047419571,82,0,0,2.0,11.0,14.77,8,1,1
2.96,269,1371972288,0,7,6,95.7386683011086,55,0,0,1.0,2.0,2.96,11,0,1
82.78,222785,1371974821,0,8,6,49.51229700089315,39,0,0,1.0,2.0,82.78,4,1,1
66.99,67082,1371976491,0,8,6,70.35091950786514,50,0,0,1.0,5.0,66.99,8,0,1
10.74,8007,1371976497,0,8,6,12.94562123684307,80,0,0,1.0,4.0,10.74,0,0,1
69.42,4138,1371977388,0,8,6,89.11539803208885,51,0,0,1.0,1.0,69.42,2,1,1
51.13,653,1371978896,0,9,6,76.08526265935521,54,0,0,2.0,5.0,197.01,2,1,1
56.49,6284,1371979851,0,9,6,95.32122922477194,84,0,0,1.0,6.0,56.49,2,1,1
61.42,1493,1371983508,0,10,6,30.380164920944974,35,0,0,1.0,5.0,61.42,2,0,1
108.36,277,1371984487,0,10,6,105.34296054581316,49,0,0,1.0,6.0,108.36,11,1,1
7.22,43,1371986118,0,11,6,124.87692347520807,71,0,0,1.0,9.0,7.22,12,0,1
61.15,1252,1371987052,0,11,6,83.90612906153308,83,0,0,1.0,4.0,61.15,2,0,1
8.81,331,1371987339,0,11,6,57.21668782756953,70,0,0,1.0,6.0,8.81,9,0,1
8.24,526,1371987583,0,11,6,98.6921871703474,80,0,0,1.0,4.0,8.24,11,0,1
86.68,3032,1371988726,0,11,6,78.1766016477659,56,0,0,1.0,8.0,86.68,2,1,1
4.81,725,1371989588,0,12,6,51.30185310252766,48,0,0,1.0,9.0,4.81,11,0,1
5.28,128,1371989904,0,12,6,57.99532838480133,74,0,0,1.0,5.0,5.28,1,1,1
29.11,1617,1371990860,0,12,6,95.323448274833,30,0,0,2.0,8.0,34.66,10,0,1
2.59,381459,1371990861,0,12,6,54.39351099250676,46,0,0,1.0,4.0,2.59,1,1,1
12.41,2206,1371991166,0,12,6,51.910139535485264,34,0,0,1.0,2.0,12.41,1,0,1
6.94,2607,1371991960,0,12,6,117.93755864200882,25,0,0,1.0,9.0,6.94,7,0,1
12.74,732,1371992699,0,13,6,2.8842353296027348,64,0,0,1.0,3.0,12.74,6,1,1
85.34,1526206,1371992725,0,13,6,129.89084883026757,35,0,0,1.0,9.0,85.34,7,0,1
55.92,4512,1371992932,0,13,6,107.66381263683904,28,0,0,2.0,4.0,89.30000000000001,1,0,1
184.84,47,1371993013,0,13,6,63.66584848249821,69,0,0,1.0,3.0,184.84,7,1,1
25.86,811,1371994587,0,13,6,80.6770990657496,48,0,0,1.0,2.0,25.86,6,0,1
5.34,5341,1371994631,0,13,6,102.84495146537212,26,0,0,2.0,7.0,13.0,11,1,1
105.07,4015,1371995106,0,13,6,55.41042573670229,49,0,0,1.0,3.0,105.07,6,0,1
11.17,46563,1371995355,0,13,6,112.6154709253414,50,0,0,1.0,6.0,11.17,12,0,1
32.24,74,1371995847,0,13,6,69.57847710216974,76,0,0,1.0,11.0,32.24,1,1,1
85.49,49,1371996174,0,14,6,33.79984971852604,39,0,0,1.0,2.0,85.49,6,1,1
54.93,190,1371999459,0,14,6,45.96486822250112,50,0,0,1.0,4.0,54.93,0,0,1
197.45,18128,1371999821,0,15,6,57.75873423381523,30,0,0,3.0,19.0,614.89,7,0,1
3.46,26551,1371999849,0,15,6,105.91185372003402,43,0,0,1.0,7.0,3.46,12,0,1
67.33,61,1371999949,0,15,6,104.27557018359478,81,0,0,1.0,4.0,67.33,7,0,1
84.27,3285,1372000011,0,15,6,66.01290311223366,32,0,0,1.0,4.0,84.27,10,0,1
69.39,52,1372001277,0,15,6,94.25671542676072,30,0,0,1.0,2.0,69.39,0,1,1
4.27,10076,1372001436,0,15,6,80.11876584169872,43,0,0,1.0,6.0,4.27,11,0,1
16.91,69,1372002961,0,15,6,41.225711184580895,29,0,0,1.0,8.0,16.91,8,0,1
124.85,1312922,1372002988,0,15,6,89.08528408695469,21,0,0,1.0,9.0,124.85,6,0,1
28.9,13973,1372003093,0,15,6,71.51187587812723,39,0,0,1.0,1.0,28.9,6,0,1
73.48,836,1372006287,0,16,6,73.0933835807216,39,0,0,1.0,9.0,73.48,10,0,1
82.59,1988,1372006671,0,16,6,56.4241347507855,42,0,0,1.0,7.0,82.59,10,1,1
108.33,6006,1372009522,0,17,6,98.7221961497804,36,0,0,1.0,9.0,108.33,5,1,1
139.04,4508,1372010289,0,17,6,18.827503344735483,71,0,0,1.0,3.0,139.04,7,0,1
19.51,804,1372011962,0,18,6,93.88350254788112,55,0,0,1.0,7.0,19.51,0,1,1
78.85,50489,1372012858,0,18,6,90.50734457372651,36,0,0,1.0,7.0,78.85,0,0,1
77.1,3451,1372012908,0,18,6,65.36290717485008,36,0,0,2.0,5.0,99.41,6,1,1
4.69,2872,1372013614,0,18,6,110.11812575015264,33,0,0,1.0,10.0,4.69,12,0,1
