amt,city_pop,unix_time,is_fraud,hour,month,distance_cardholder_merchant,age,is_weekend,is_night,velocity_1h,velocity_24h,amount_velocity_1h,category_encoded,gender_encoded,day_of_week_encoded
25.64,35439,1371821222,0,13,6,41.59578912924788,35,1,0,1.0,1.0,25.64,6,1,6
25.5,124967,1371822970,0,13,6,52.74057349781442,40,1,0,2.0,3.0,132.36,10,1,6
61.7,7692,1371825398,0,14,6,17.96361540497911,34,1,0,1.0,1.0,61.7,6,1,6
7.21,241,1371827693,0,15,6,43.86762410547679,40,1,0,1.0,1.0,7.21,6,0,6
4.11,3224,1371830392,0,15,6,49.50324698158091,23,1,0,3.0,5.0,25.35,12,1,6
4.39,564,1371837609,0,18,6,24.196857607565867,24,1,0,2.0,5.0,14.18,10,1,6
13.99,123373,1371842805,0,19,6,102.27788594396937,28,1,0,1.0,2.0,13.99,11,0,6
2.37,67082,1371850311,0,21,6,57.51975391761238,50,1,0,1.0,5.0,2.37,5,0,6
15.5,12747,1371850496,0,21,6,55.19494941621881,33,1,0,3.0,3.0,115.05,11,0,6
24.84,23,1371852399,1,22,6,80.64913963942968,51,1,1,1.0,1.0,24.84,5,0,6
164.25,760,1371853303,0,22,6,66.16741280122673,35,1,1,1.0,7.0,164.25,0,0,6
60.05,302,1371853435,0,22,6,90.8550678773324,47,1,1,1.0,6.0,60.05,6,0,6
48.89,31515,1371854651,0,22,6,84.85314802178858,49,1,1,1.0,5.0,48.89,7,1,6
45.83,54287,1371855207,0,22,6,59.88065702881525,48,1,1,1.0,6.0,45.83,6,0,6
22.55,105638,1371856572,1,23,6,94.21401150631635,34,1,1,1.0,1.0,22.55,5,0,6
66.75,2054,1371859215,0,0,6,66.56179917668783,57,0,1,1.0,2.0,66.75,2,0,0
8.39,105638,1371863882,1,1,6,64.2048523645611,34,0,1,1.0,2.0,8.39,9,0,0
46.14,4005,1371871395,0,3,6,51.10030750724696,75,0,1,1.0,2.0,46.14,1,1,0
13.25,105638,1371872900,1,3,6,26.935302336685925,34,0,1,1.0,4.0,13.25,3,0,0
75.23,2807,1371874020,0,4,6,78.2357261527228,89,0,1,1.0,4.0,75.23,4,0,0
2.01,27829,1371882610,0,6,6,82.06059742344804,66,0,0,1.0,2.0,2.01,8,0,0
51.69,564,1371882761,0,6,6,98.38588544406646,24,0,0,2.0,9.0,146.03,4,1,0
649.56,1271,1371887614,0,7,6,96.60677870689696,62,0,0,1.0,6.0,649.56,9,0,0
135.58,18408,1371890742,0,8,6,95.40648972841156,48,0,0,1.0,9.0,135.58,8,1,0
102.15,49,1371895025,0,9,6,70.98914220550715,39,0,0,1.0,4.0,102.15,4,1,0
55.36,1595797,1371895035,0,9,6,34.477376799942085,25,0,0,1.0,7.0,55.36,2,1,0
23.58,1791,1371897869,0,10,6,67.50896139992423,55,0,0,1.0,11.0,23.58,12,0,0
53.97,467,1371903118,0,12,6,78.55969275735968,36,0,0,1.0,2.0,53.97,1,1,0
97.13,88735,1371903959,0,12,6,59.0453536328584,32,0,0,1.0,3.0,97.13,10,0,0
